TIME,RPM SETPOINT,CTRL OUT,PUMP SPEED,INLET PRESSURE,OUTLET PRESSURE,OUTLET FLOW,OUTLET FLUID TEMPERATURE,PUMP TEMPERATURE
0.1,0.0,0.0,0.0,8.009,7.933,0.951,27.184,29.782
0.2,0.0,0.0,0.0,7.976,8.233,0.973,26.495,29.61
0.3,0.0,0.0,0.0,7.975,8.271,1.01,25.842,29.449
0.4,0.0,0.0,0.0,8.021,8.521,1.025,25.261,29.295
0.5,0.0,0.0,0.0,7.98,8.676,1.007,24.756,29.173
0.6,0.0,0.0,0.0,7.964,8.819,1.045,24.273,29.028
0.7,0.0,0.0,0.0,7.926,8.758,1.084,23.843,28.938
0.8,0.0,0.0,0.0,7.893,8.635,1.079,23.463,28.864
0.9,0.0,0.0,0.0,7.887,8.524,1.102,23.139,28.78
1.0,0.0,0.0,0.0,7.851,8.553,1.067,22.811,28.695
1.1,0.0,0.0,0.0,7.866,8.609,1.087,22.535,28.614
1.2,0.0,0.0,0.0,7.894,8.561,1.055,22.267,28.526
1.3,0.0,0.0,0.0,7.895,8.249,1.038,22.06,28.47
1.4,0.0,0.0,0.0,7.946,8.533,0.985,21.838,28.45
1.5,0.0,0.0,0.0,8.017,8.136,0.996,21.653,28.382
1.6,0.0,0.0,0.0,7.994,8.187,1.043,21.508,28.317
1.7,0.0,0.0,0.0,7.951,8.419,1.081,21.347,28.267
1.8,0.0,0.0,0.0,7.915,8.496,1.112,21.194,28.256
1.9,0.0,0.0,0.0,7.886,8.102,1.048,21.073,28.25
2.0,0.0,0.0,0.0,7.876,8.215,1.094,20.97,28.21
2.1,0.0,0.0,0.0,7.92,8.379,1.088,20.865,28.171
2.2,0.0,0.0,0.0,7.926,8.254,1.096,20.77,28.138
2.3,0.0,0.0,0.0,7.857,8.579,1.083,20.706,28.109
2.4,0.0,0.0,0.0,7.842,8.885,1.098,20.615,28.117
2.5,0.0,0.0,0.0,7.803,9.086,1.064,20.534,28.123
2.6,0.0,0.0,0.0,7.823,8.749,1.021,20.465,28.105
2.7,0.0,0.0,0.0,7.909,8.611,1.063,20.404,28.078
2.8,0.0,0.0,0.0,7.864,8.818,1.006,20.374,28.058
2.9,0.0,0.0,0.0,7.843,8.93,1.005,20.344,28.052
3.0,0.0,0.0,0.0,7.895,8.727,0.993,20.313,28.037
3.1,0.0,0.0,0.0,7.963,8.441,1.022,20.29,28.026
3.2,0.0,0.0,0.0,8.036,8.325,1.054,20.25,28.017
3.3,0.0,0.0,0.0,7.96,8.326,1.094,20.228,27.987
3.4,0.0,0.0,0.0,7.958,8.419,1.138,20.219,28.008
3.5,0.0,0.0,0.0,7.958,8.255,1.15,20.18,28.02
3.6,0.0,0.0,0.0,7.917,8.614,1.145,20.164,28.033
3.7,0.0,0.0,0.0,7.985,8.327,1.154,20.136,28.028
3.8,0.0,0.0,0.0,8.024,8.086,1.157,20.142,28.046
3.9,0.0,0.0,0.0,8.077,8.099,1.154,20.136,28.057
4.0,0.0,0.0,0.0,8.081,8.209,1.199,20.124,28.034
4.1,0.0,0.0,0.0,8.001,8.537,1.156,20.099,28.033
4.2,0.0,0.0,0.0,7.957,8.8,1.141,20.079,28.02
4.3,0.0,0.0,0.0,7.897,8.983,1.106,20.089,28.017
4.4,0.0,0.0,0.0,7.968,9.225,1.094,20.081,28.026
4.5,0.0,0.0,0.0,7.924,9.214,1.081,20.074,28.016
4.6,0.0,0.0,0.0,7.867,8.675,1.066,20.084,28.025
4.7,0.0,0.0,0.0,7.825,8.24,1.007,20.059,28.019
4.8,0.0,0.0,0.0,7.785,8.595,1.037,20.039,28.017
4.9,0.0,0.0,0.0,7.718,8.161,1.04,20.022,28.016
5.0,0.0,0.0,0.0,7.72,7.918,1.015,20.036,28.023
5.1,0.0,0.0,0.0,7.794,7.991,1.017,20.047,28.027
5.2,0.0,0.0,0.0,7.823,7.916,0.969,20.055,28.039
5.3,0.0,0.0,0.0,7.832,8.263,0.956,20.05,28.044
5.4,0.0,0.0,0.0,7.843,8.586,1.008,20.057,28.049
5.5,0.0,0.0,0.0,7.876,8.878,0.998,20.042,28.064
5.6,0.0,0.0,0.0,7.839,8.771,0.968,20.055,28.058
5.7,0.0,0.0,0.0,7.854,8.914,0.984,20.054,28.029
5.8,0.0,0.0,0.0,7.867,8.853,0.992,20.044,28.038
5.9,0.0,0.0,0.0,7.927,8.558,0.995,20.043,28.045
6.0,0.0,0.0,0.0,7.868,8.68,1.01,20.037,28.037
6.1,0.0,0.0,0.0,7.833,8.968,1.052,20.044,28.024
6.2,0.0,0.0,0.0,7.771,8.651,1.035,20.033,28.008
6.3,0.0,0.0,0.0,7.809,9.014,1.08,20.033,27.982
6.4,0.0,0.0,0.0,7.772,8.538,1.108,20.026,27.992
6.5,0.0,0.0,0.0,7.833,8.587,1.066,20.032,28.008
6.6,0.0,0.0,0.0,7.795,8.608,1.032,20.047,28.029
6.7,0.0,0.0,0.0,7.762,8.393,1.051,20.044,28.04
6.8,0.0,0.0,0.0,7.756,8.14,1.074,20.041,28.022
6.9,0.0,0.0,0.0,7.782,7.761,1.095,20.056,28.013
7.0,0.0,0.0,0.0,7.76,7.633,1.09,20.055,28.035
7.1,0.0,0.0,0.0,7.769,7.823,1.105,20.06,28.029
7.2,0.0,0.0,0.0,7.857,8.001,1.06,20.071,28.02
7.3,0.0,0.0,0.0,7.846,8.09,1.032,20.072,28.0
7.4,0.0,0.0,0.0,7.843,8.106,1.048,20.084,27.98
7.5,0.0,0.0,0.0,7.904,8.42,1.006,20.072,27.987
7.6,0.0,0.0,0.0,7.859,7.983,0.973,20.061,27.96
7.7,0.0,0.0,0.0,7.922,7.759,1.006,20.042,27.986
7.8,0.0,0.0,0.0,7.913,7.699,1.001,20.031,28.011
7.9,0.0,0.0,0.0,7.918,7.915,1.011,20.04,28.036
8.0,0.0,0.0,0.0,8.003,7.527,1.01,20.035,28.016
8.1,0.0,0.0,0.0,8.015,7.28,1.026,20.045,28.003
8.2,0.0,0.0,0.0,7.977,6.958,1.038,20.042,27.99
8.3,0.0,0.0,0.0,8.018,6.838,1.066,20.033,27.995
8.4,0.0,0.0,0.0,8.074,6.594,1.056,20.033,27.99
8.5,0.0,0.0,0.0,8.145,6.748,1.091,20.031,27.998
8.6,0.0,0.0,0.0,8.142,6.883,1.045,20.018,27.972
8.7,0.0,0.0,0.0,8.158,7.229,1.006,20.014,27.978
8.8,0.0,0.0,0.0,8.128,7.096,0.993,20.0,27.969
8.9,0.0,0.0,0.0,8.14,7.322,0.987,20.007,27.956
9.0,0.0,0.0,0.0,8.179,7.235,0.954,19.992,27.939
9.1,0.0,0.0,0.0,8.103,7.504,0.952,20.011,27.939
9.2,0.0,0.0,0.0,8.141,7.484,0.918,20.016,27.934
9.3,0.0,0.0,0.0,8.1,7.908,0.934,20.033,27.91
9.4,0.0,0.0,0.0,8.125,7.709,0.962,20.042,27.884
9.5,0.0,0.0,0.0,8.15,7.718,0.93,20.021,27.877
9.6,0.0,0.0,0.0,8.093,7.803,0.898,20.012,27.879
9.7,0.0,0.0,0.0,8.092,7.612,0.923,20.024,27.888
9.8,0.0,0.0,0.0,8.043,7.995,0.963,20.019,27.915
9.9,0.0,0.0,0.0,8.062,7.833,0.965,20.004,27.927
10.0,0.0,0.0,0.0,8.092,7.798,0.97,20.023,27.9
10.1,250.0,17.938,1.004,8.112,7.768,0.969,20.009,27.927
10.2,250.0,18.303,4.005,8.064,7.566,0.941,20.013,27.901
10.3,250.0,18.523,9.012,8.058,7.284,0.982,20.018,27.896
10.4,250.0,18.595,16.01,7.974,7.03,0.989,20.003,27.893
10.5,250.0,18.514,24.979,8.04,7.21,1.03,20.015,27.877
10.6,250.0,18.28,35.97,8.066,7.115,1.096,20.019,27.879
10.7,250.0,17.885,48.931,8.019,7.16,1.097,20.03,27.903
10.8,250.0,17.33,63.934,8.02,7.541,1.201,20.044,27.9
10.9,250.0,16.605,80.964,8.001,7.968,1.246,20.063,27.884
11.0,250.0,15.709,99.938,8.005,8.246,1.379,20.063,27.885
